======== Profiling result:
======== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 560 Ti (0)"
    Kernel: void mtf_cuda_2buffers<int=4096, int=4, unsigned int>(unsigned char const *, unsigned char*, int, int)
          1                       l1_local_store_miss           0           0           0           0
          1                        l1_global_load_hit     5115744     5115744     5115744     5115744
          1                       l1_global_load_miss    32658596    32658596    32658596    32658596
          1          uncached_global_load_transaction           0           0           0           0
          1                  global_store_transaction    37765120    37765120    37765120    37765120
          1                   l1_shared_bank_conflict           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                     fb_subp0_read_sectors    26026479    26026479    26026479    26026479
          1                     fb_subp1_read_sectors    26326042    26326042    26326042    26326042
          1                    fb_subp0_write_sectors    18019297    18019297    18019297    18019297
          1                    fb_subp1_write_sectors    18008587    18008587    18008587    18008587
          1              l2_subp0_write_sector_misses    18022663    18022663    18022663    18022663
          1              l2_subp1_write_sector_misses    18008587    18008587    18008587    18008587
          1               l2_subp0_read_sector_misses    25931301    25931301    25931301    25931301
          1               l2_subp1_read_sector_misses    26520474    26520474    26520474    26520474
          1             l2_subp0_write_sector_queries    18352128    18352128    18352128    18352128
          1             l2_subp1_write_sector_queries    18352128    18352128    18352128    18352128
          1              l2_subp0_read_sector_queries    63273300    63273300    63273300    63273300
          1              l2_subp1_read_sector_queries    63387536    63387536    63387536    63387536
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1                 l2_subp0_read_hit_sectors    37987356    37987356    37987356    37987356
          1                 l2_subp1_read_hit_sectors    37389604    37389604    37389604    37389604
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1                         elapsed_cycles_sm   674324216   674324216   674324216   674324216
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1        l2_subp0_total_read_sector_queries    63315814    63315814    63315814    63315814
          1        l2_subp1_total_read_sector_queries    63142456    63142456    63142456    63142456
          1       l2_subp0_total_write_sector_queries    18352128    18352128    18352128    18352128
          1       l2_subp1_total_write_sector_queries    18352133    18352133    18352133    18352133
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                             gld_inst_8bit    36713217    36713217    36713217    36713217
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit    36704256    36704256    36704256    36704256
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
    Kernel: void mtf_cuda_4by8<int=4096, int=256, int=32, unsigned char, int=256>(unsigned char const *, unsigned char*, int, int)
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                               gld_request    14145630    14145630    14145630    14145630
          1                               gst_request    14144469    14144469    14144469    14144469
          1                               shared_load    24983597    24983597    24983597    24983597
          1                              shared_store    39016540    39016540    39016540    39016540
          1                                    branch    44503051    44503051    44503051    44503051
          1                          divergent_branch     9808814     9808814     9808814     9808814
          1                             active_cycles   359238555   359238555   359238555   359238555
          1                            inst_issued1_0   191148076   191148076   191148076   191148076
          1                            inst_issued2_0    91163507    91163507    91163507    91163507
          1                            inst_issued1_1   191310786   191310786   191310786   191310786
          1                            inst_issued2_1    91328912    91328912    91328912    91328912
          1                             inst_executed   623380211   623380211   623380211   623380211
          1                            warps_launched        2248        2248        2248        2248
          1                          threads_launched       71936       71936       71936       71936
          1                    thread_inst_executed_0  5163813268  5163813268  5163813268  5163813268
          1                    thread_inst_executed_2  2152163824  2152163824  2152163824  2152163824
          1                    thread_inst_executed_1  5167624317  5167624317  5167624317  5167624317
          1                    thread_inst_executed_3  2154005856  2154005856  2154005856  2154005856
          1                              active_warps  1.2634e+10  1.2634e+10  1.2634e+10  1.2634e+10
          1                 tex0_cache_sector_queries           0           0           0           0
          1                  tex0_cache_sector_misses           0           0           0           0
          1                 tex1_cache_sector_queries           0           0           0           0
          1                  tex1_cache_sector_misses           0           0           0           0
          1                           sm_cta_launched         284         284         284         284
          1                         l1_local_load_hit           0           0           0           0
          1                        l1_local_load_miss           0           0           0           0
          1                        l1_local_store_hit           0           0           0           0
          1                       l1_local_store_miss           0           0           0           0
          1                        l1_global_load_hit    15722852    15722852    15722852    15722852
          1                       l1_global_load_miss    22035100    22035100    22035100    22035100
          1          uncached_global_load_transaction           0           0           0           0
          1                  global_store_transaction    36716544    36716544    36716544    36716544
          1                   l1_shared_bank_conflict    71463908    71463908    71463908    71463908
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                     fb_subp0_read_sectors     1152710     1152710     1152710     1152710
          1                     fb_subp1_read_sectors     1179475     1179475     1179475     1179475
          1                    fb_subp0_write_sectors    16530585    16530585    16530585    16530585
          1                    fb_subp1_write_sectors    16534703    16534703    16534703    16534703
          1              l2_subp0_write_sector_misses    16539348    16539348    16539348    16539348
          1              l2_subp1_write_sector_misses    16534703    16534703    16534703    16534703
          1               l2_subp0_read_sector_misses     1151148     1151148     1151148     1151148
          1               l2_subp1_read_sector_misses     1173543     1173543     1173543     1173543
          1             l2_subp0_write_sector_queries    18352128    18352128    18352128    18352128
          1             l2_subp1_write_sector_queries    18352128    18352128    18352128    18352128
          1              l2_subp0_read_sector_queries    42834884    42834884    42834884    42834884
          1              l2_subp1_read_sector_queries    42463900    42463900    42463900    42463900
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1                 l2_subp0_read_hit_sectors    41641276    41641276    41641276    41641276
          1                 l2_subp1_read_hit_sectors    42071748    42071748    42071748    42071748
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1                         elapsed_cycles_sm   377753956   377753956   377753956   377753956
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           2           2           2           2
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1        l2_subp0_total_read_sector_queries    41950439    41950439    41950439    41950439
          1        l2_subp1_total_read_sector_queries    42919800    42919800    42919800    42919800
          1       l2_subp0_total_write_sector_queries    18352128    18352128    18352128    18352128
          1       l2_subp1_total_write_sector_queries    18352131    18352131    18352131    18352131
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                             gld_inst_8bit   293705736   293705736   293705736   293705736
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit   293634048   293634048   293634048   293634048
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
    Kernel: void mtf_cuda_thread<int=4096, int=128, int=64>(unsigned char const *, unsigned char*, int, int)
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                               gld_request     9510273     9510273     9510273     9510273
          1                               gst_request     9511965     9511965     9511965     9511965
          1                               shared_load    12159416    12159416    12159416    12159416
          1                              shared_store    21675596    21675596    21675596    21675596
          1                                    branch    34035679    34035679    34035679    34035679
          1                          divergent_branch     9416081     9416081     9416081     9416081
          1                             active_cycles   563733131   563733131   563733131   563733131
          1                            inst_issued1_0   138815900   138815900   138815900   138815900
          1                            inst_issued2_0    55561689    55561689    55561689    55561689
          1                            inst_issued1_1   114044830   114044830   114044830   114044830
          1                            inst_issued2_1    55846976    55846976    55846976    55846976
          1                             inst_executed   365209249   365209249   365209249   365209249
          1                            warps_launched         284         284         284         284
          1                          threads_launched        9088        9088        9088        9088
          1                    thread_inst_executed_0  1760232850  1760232850  1760232850  1760232850
          1                    thread_inst_executed_2   845356452   845356452   845356452   845356452
          1                    thread_inst_executed_1  1833239341  1833239341  1833239341  1833239341
          1                    thread_inst_executed_3   857394438   857394438   857394438   857394438
          1                              active_warps  1.1154e+10  1.1154e+10  1.1154e+10  1.1154e+10
          1                 tex0_cache_sector_queries           0           0           0           0
          1                  tex0_cache_sector_misses           0           0           0           0
          1                 tex1_cache_sector_queries           0           0           0           0
          1                  tex1_cache_sector_misses           0           0           0           0
          1                           sm_cta_launched          68          68          68          68
          1                         l1_local_load_hit           0           0           0           0
          1                        l1_local_load_miss           0           0           0           0
          1                        l1_local_store_hit           0           0           0           0
          1                       l1_local_store_miss           0           0           0           0
          1                        l1_global_load_hit     7015784     7015784     7015784     7015784
          1                       l1_global_load_miss    30742168    30742168    30742168    30742168
          1          uncached_global_load_transaction           0           0           0           0
          1                  global_store_transaction    35651584    35651584    35651584    35651584
          1                   l1_shared_bank_conflict           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                     fb_subp0_read_sectors    20909176    20909176    20909176    20909176
          1                     fb_subp1_read_sectors    21231838    21231838    21231838    21231838
          1                    fb_subp0_write_sectors    17838501    17838501    17838501    17838501
          1                    fb_subp1_write_sectors    17808741    17808741    17808741    17808741
          1              l2_subp0_write_sector_misses    17839988    17839988    17839988    17839988
          1              l2_subp1_write_sector_misses    17808741    17808741    17808741    17808741
